pixelID x y
1 0 0
2 0.5 0
3 1.0 0
4 1.5 0
5 2.0 0
6 2.5 0
7 3.0 0
8 3.5 0
9 4.0 0
10 4.5 0
11 5.0 0
12 5.5 0
13 6.0 0
14 6.5 0
15 7.0 0
16 7.5 0
17 8.0 0
18 8.5 0
19 9.0 0
20 9.5 0
21 10.0 0
22 10.5 0
23 11.0 0
24 11.5 0
25 12.0 0
26 12.5 0
27 13.0 0
28 13.5 0
29 14.0 0
30 14.5 0
31 -0.5 0
32 -1.0 0
33 -1.5 0
34 -2.0 0
35 -2.5 0
36 -3.0 0
37 -3.5 0
38 -4.0 0
39 -4.5 0
40 -5.0 0
41 -5.5 0
42 -6.0 0
43 -6.5 0
44 -7.0 0
45 -7.5 0
46 -8.0 0
47 -8.5 0
48 -9.0 0
49 -9.5 0
50 -10.0 0
51 -10.5 0
52 -11.0 0
53 -11.5 0
54 -12.0 0
55 -12.5 0
56 -13.0 0
57 -13.5 0
58 -14.0 0
59 -14.5 0
60 0 0.5
61 0.5 0.5
62 1.0 0.5
63 1.5 0.5
64 2.0 0.5
65 2.5 0.5
66 3.0 0.5
67 3.5 0.5
68 4.0 0.5
69 4.5 0.5
70 5.0 0.5
71 5.5 0.5
72 6.0 0.5
73 6.5 0.5
74 7.0 0.5
75 7.5 0.5
76 8.0 0.5
77 8.5 0.5
78 9.0 0.5
79 9.5 0.5
80 10.0 0.5
81 10.5 0.5
82 11.0 0.5
83 11.5 0.5
84 12.0 0.5
85 12.5 0.5
86 13.0 0.5
87 13.5 0.5
88 14.0 0.5
89 14.5 0.5
90 -0.5 0.5
91 -1.0 0.5
92 -1.5 0.5
93 -2.0 0.5
94 -2.5 0.5
95 -3.0 0.5
96 -3.5 0.5
97 -4.0 0.5
98 -4.5 0.5
99 -5.0 0.5
100 -5.5 0.5
101 -6.0 0.5
102 -6.5 0.5
103 -7.0 0.5
104 -7.5 0.5
105 -8.0 0.5
106 -8.5 0.5
107 -9.0 0.5
108 -9.5 0.5
109 -10.0 0.5
110 -10.5 0.5
111 -11.0 0.5
112 -11.5 0.5
113 -12.0 0.5
114 -12.5 0.5
115 -13.0 0.5
116 -13.5 0.5
117 -14.0 0.5
118 -14.5 0.5
119 0 1.0
120 0.5 1.0
121 1.0 1.0
122 1.5 1.0
123 2.0 1.0
124 2.5 1.0
125 3.0 1.0
126 3.5 1.0
127 4.0 1.0
128 4.5 1.0
129 5.0 1.0
130 5.5 1.0
131 6.0 1.0
132 6.5 1.0
133 7.0 1.0
134 7.5 1.0
135 8.0 1.0
136 8.5 1.0
137 9.0 1.0
138 9.5 1.0
139 10.0 1.0
140 10.5 1.0
141 11.0 1.0
142 11.5 1.0
143 12.0 1.0
144 12.5 1.0
145 13.0 1.0
146 13.5 1.0
147 14.0 1.0
148 14.5 1.0
149 -0.5 1.0
150 -1.0 1.0
151 -1.5 1.0
152 -2.0 1.0
153 -2.5 1.0
154 -3.0 1.0
155 -3.5 1.0
156 -4.0 1.0
157 -4.5 1.0
158 -5.0 1.0
159 -5.5 1.0
160 -6.0 1.0
161 -6.5 1.0
162 -7.0 1.0
163 -7.5 1.0
164 -8.0 1.0
165 -8.5 1.0
166 -9.0 1.0
167 -9.5 1.0
168 -10.0 1.0
169 -10.5 1.0
170 -11.0 1.0
171 -11.5 1.0
172 -12.0 1.0
173 -12.5 1.0
174 -13.0 1.0
175 -13.5 1.0
176 -14.0 1.0
177 -14.5 1.0
178 0 1.5
179 0.5 1.5
180 1.0 1.5
181 1.5 1.5
182 2.0 1.5
183 2.5 1.5
184 3.0 1.5
185 3.5 1.5
186 4.0 1.5
187 4.5 1.5
188 5.0 1.5
189 5.5 1.5
190 6.0 1.5
191 6.5 1.5
192 7.0 1.5
193 7.5 1.5
194 8.0 1.5
195 8.5 1.5
196 9.0 1.5
197 9.5 1.5
198 10.0 1.5
199 10.5 1.5
200 11.0 1.5
201 11.5 1.5
202 12.0 1.5
203 12.5 1.5
204 13.0 1.5
205 13.5 1.5
206 14.0 1.5
207 14.5 1.5
208 -0.5 1.5
209 -1.0 1.5
210 -1.5 1.5
211 -2.0 1.5
212 -2.5 1.5
213 -3.0 1.5
214 -3.5 1.5
215 -4.0 1.5
216 -4.5 1.5
217 -5.0 1.5
218 -5.5 1.5
219 -6.0 1.5
220 -6.5 1.5
221 -7.0 1.5
222 -7.5 1.5
223 -8.0 1.5
224 -8.5 1.5
225 -9.0 1.5
226 -9.5 1.5
227 -10.0 1.5
228 -10.5 1.5
229 -11.0 1.5
230 -11.5 1.5
231 -12.0 1.5
232 -12.5 1.5
233 -13.0 1.5
234 -13.5 1.5
235 -14.0 1.5
236 -14.5 1.5
237 0 2.0
238 0.5 2.0
239 1.0 2.0
240 1.5 2.0
241 2.0 2.0
242 2.5 2.0
243 3.0 2.0
244 3.5 2.0
245 4.0 2.0
246 4.5 2.0
247 5.0 2.0
248 5.5 2.0
249 6.0 2.0
250 6.5 2.0
251 7.0 2.0
252 7.5 2.0
253 8.0 2.0
254 8.5 2.0
255 9.0 2.0
256 9.5 2.0
257 10.0 2.0
258 10.5 2.0
259 11.0 2.0
260 11.5 2.0
261 12.0 2.0
262 12.5 2.0
263 13.0 2.0
264 13.5 2.0
265 14.0 2.0
266 14.5 2.0
267 -0.5 2.0
268 -1.0 2.0
269 -1.5 2.0
270 -2.0 2.0
271 -2.5 2.0
272 -3.0 2.0
273 -3.5 2.0
274 -4.0 2.0
275 -4.5 2.0
276 -5.0 2.0
277 -5.5 2.0
278 -6.0 2.0
279 -6.5 2.0
280 -7.0 2.0
281 -7.5 2.0
282 -8.0 2.0
283 -8.5 2.0
284 -9.0 2.0
285 -9.5 2.0
286 -10.0 2.0
287 -10.5 2.0
288 -11.0 2.0
289 -11.5 2.0
290 -12.0 2.0
291 -12.5 2.0
292 -13.0 2.0
293 -13.5 2.0
294 -14.0 2.0
295 -14.5 2.0
296 0 2.5
297 0.5 2.5
298 1.0 2.5
299 1.5 2.5
300 2.0 2.5
301 2.5 2.5
302 3.0 2.5
303 3.5 2.5
304 4.0 2.5
305 4.5 2.5
306 5.0 2.5
307 5.5 2.5
308 6.0 2.5
309 6.5 2.5
310 7.0 2.5
311 7.5 2.5
312 8.0 2.5
313 8.5 2.5
314 9.0 2.5
315 9.5 2.5
316 10.0 2.5
317 10.5 2.5
318 11.0 2.5
319 11.5 2.5
320 12.0 2.5
321 12.5 2.5
322 13.0 2.5
323 13.5 2.5
324 14.0 2.5
325 14.5 2.5
326 -0.5 2.5
327 -1.0 2.5
328 -1.5 2.5
329 -2.0 2.5
330 -2.5 2.5
331 -3.0 2.5
332 -3.5 2.5
333 -4.0 2.5
334 -4.5 2.5
335 -5.0 2.5
336 -5.5 2.5
337 -6.0 2.5
338 -6.5 2.5
339 -7.0 2.5
340 -7.5 2.5
341 -8.0 2.5
342 -8.5 2.5
343 -9.0 2.5
344 -9.5 2.5
345 -10.0 2.5
346 -10.5 2.5
347 -11.0 2.5
348 -11.5 2.5
349 -12.0 2.5
350 -12.5 2.5
351 -13.0 2.5
352 -13.5 2.5
353 -14.0 2.5
354 -14.5 2.5
355 0 3.0
356 0.5 3.0
357 1.0 3.0
358 1.5 3.0
359 2.0 3.0
360 2.5 3.0
361 3.0 3.0
362 3.5 3.0
363 4.0 3.0
364 4.5 3.0
365 5.0 3.0
366 5.5 3.0
367 6.0 3.0
368 6.5 3.0
369 7.0 3.0
370 7.5 3.0
371 8.0 3.0
372 8.5 3.0
373 9.0 3.0
374 9.5 3.0
375 10.0 3.0
376 10.5 3.0
377 11.0 3.0
378 11.5 3.0
379 12.0 3.0
380 12.5 3.0
381 13.0 3.0
382 13.5 3.0
383 14.0 3.0
384 14.5 3.0
385 -0.5 3.0
386 -1.0 3.0
387 -1.5 3.0
388 -2.0 3.0
389 -2.5 3.0
390 -3.0 3.0
391 -3.5 3.0
392 -4.0 3.0
393 -4.5 3.0
394 -5.0 3.0
395 -5.5 3.0
396 -6.0 3.0
397 -6.5 3.0
398 -7.0 3.0
399 -7.5 3.0
400 -8.0 3.0
401 -8.5 3.0
402 -9.0 3.0
403 -9.5 3.0
404 -10.0 3.0
405 -10.5 3.0
406 -11.0 3.0
407 -11.5 3.0
408 -12.0 3.0
409 -12.5 3.0
410 -13.0 3.0
411 -13.5 3.0
412 -14.0 3.0
413 -14.5 3.0
414 0 3.5
415 0.5 3.5
416 1.0 3.5
417 1.5 3.5
418 2.0 3.5
419 2.5 3.5
420 3.0 3.5
421 3.5 3.5
422 4.0 3.5
423 4.5 3.5
424 5.0 3.5
425 5.5 3.5
426 6.0 3.5
427 6.5 3.5
428 7.0 3.5
429 7.5 3.5
430 8.0 3.5
431 8.5 3.5
432 9.0 3.5
433 9.5 3.5
434 10.0 3.5
435 10.5 3.5
436 11.0 3.5
437 11.5 3.5
438 12.0 3.5
439 12.5 3.5
440 13.0 3.5
441 13.5 3.5
442 14.0 3.5
443 14.5 3.5
444 -0.5 3.5
445 -1.0 3.5
446 -1.5 3.5
447 -2.0 3.5
448 -2.5 3.5
449 -3.0 3.5
450 -3.5 3.5
451 -4.0 3.5
452 -4.5 3.5
453 -5.0 3.5
454 -5.5 3.5
455 -6.0 3.5
456 -6.5 3.5
457 -7.0 3.5
458 -7.5 3.5
459 -8.0 3.5
460 -8.5 3.5
461 -9.0 3.5
462 -9.5 3.5
463 -10.0 3.5
464 -10.5 3.5
465 -11.0 3.5
466 -11.5 3.5
467 -12.0 3.5
468 -12.5 3.5
469 -13.0 3.5
470 -13.5 3.5
471 -14.0 3.5
472 -14.5 3.5
473 0 4.0
474 0.5 4.0
475 1.0 4.0
476 1.5 4.0
477 2.0 4.0
478 2.5 4.0
479 3.0 4.0
480 3.5 4.0
481 4.0 4.0
482 4.5 4.0
483 5.0 4.0
484 5.5 4.0
485 6.0 4.0
486 6.5 4.0
487 7.0 4.0
488 7.5 4.0
489 8.0 4.0
490 8.5 4.0
491 9.0 4.0
492 9.5 4.0
493 10.0 4.0
494 10.5 4.0
495 11.0 4.0
496 11.5 4.0
497 12.0 4.0
498 12.5 4.0
499 13.0 4.0
500 13.5 4.0
501 14.0 4.0
502 -0.5 4.0
503 -1.0 4.0
504 -1.5 4.0
505 -2.0 4.0
506 -2.5 4.0
507 -3.0 4.0
508 -3.5 4.0
509 -4.0 4.0
510 -4.5 4.0
511 -5.0 4.0
512 -5.5 4.0
513 -6.0 4.0
514 -6.5 4.0
515 -7.0 4.0
516 -7.5 4.0
517 -8.0 4.0
518 -8.5 4.0
519 -9.0 4.0
520 -9.5 4.0
521 -10.0 4.0
522 -10.5 4.0
523 -11.0 4.0
524 -11.5 4.0
525 -12.0 4.0
526 -12.5 4.0
527 -13.0 4.0
528 -13.5 4.0
529 -14.0 4.0
530 0 4.5
531 0.5 4.5
532 1.0 4.5
533 1.5 4.5
534 2.0 4.5
535 2.5 4.5
536 3.0 4.5
537 3.5 4.5
538 4.0 4.5
539 4.5 4.5
540 5.0 4.5
541 5.5 4.5
542 6.0 4.5
543 6.5 4.5
544 7.0 4.5
545 7.5 4.5
546 8.0 4.5
547 8.5 4.5
548 9.0 4.5
549 9.5 4.5
550 10.0 4.5
551 10.5 4.5
552 11.0 4.5
553 11.5 4.5
554 12.0 4.5
555 12.5 4.5
556 13.0 4.5
557 13.5 4.5
558 14.0 4.5
559 -0.5 4.5
560 -1.0 4.5
561 -1.5 4.5
562 -2.0 4.5
563 -2.5 4.5
564 -3.0 4.5
565 -3.5 4.5
566 -4.0 4.5
567 -4.5 4.5
568 -5.0 4.5
569 -5.5 4.5
570 -6.0 4.5
571 -6.5 4.5
572 -7.0 4.5
573 -7.5 4.5
574 -8.0 4.5
575 -8.5 4.5
576 -9.0 4.5
577 -9.5 4.5
578 -10.0 4.5
579 -10.5 4.5
580 -11.0 4.5
581 -11.5 4.5
582 -12.0 4.5
583 -12.5 4.5
584 -13.0 4.5
585 -13.5 4.5
586 -14.0 4.5
587 0 5.0
588 0.5 5.0
589 1.0 5.0
590 1.5 5.0
591 2.0 5.0
592 2.5 5.0
593 3.0 5.0
594 3.5 5.0
595 4.0 5.0
596 4.5 5.0
597 5.0 5.0
598 5.5 5.0
599 6.0 5.0
600 6.5 5.0
601 7.0 5.0
602 7.5 5.0
603 8.0 5.0
604 8.5 5.0
605 9.0 5.0
606 9.5 5.0
607 10.0 5.0
608 10.5 5.0
609 11.0 5.0
610 11.5 5.0
611 12.0 5.0
612 12.5 5.0
613 13.0 5.0
614 13.5 5.0
615 14.0 5.0
616 -0.5 5.0
617 -1.0 5.0
618 -1.5 5.0
619 -2.0 5.0
620 -2.5 5.0
621 -3.0 5.0
622 -3.5 5.0
623 -4.0 5.0
624 -4.5 5.0
625 -5.0 5.0
626 -5.5 5.0
627 -6.0 5.0
628 -6.5 5.0
629 -7.0 5.0
630 -7.5 5.0
631 -8.0 5.0
632 -8.5 5.0
633 -9.0 5.0
634 -9.5 5.0
635 -10.0 5.0
636 -10.5 5.0
637 -11.0 5.0
638 -11.5 5.0
639 -12.0 5.0
640 -12.5 5.0
641 -13.0 5.0
642 -13.5 5.0
643 -14.0 5.0
644 0 5.5
645 0.5 5.5
646 1.0 5.5
647 1.5 5.5
648 2.0 5.5
649 2.5 5.5
650 3.0 5.5
651 3.5 5.5
652 4.0 5.5
653 4.5 5.5
654 5.0 5.5
655 5.5 5.5
656 6.0 5.5
657 6.5 5.5
658 7.0 5.5
659 7.5 5.5
660 8.0 5.5
661 8.5 5.5
662 9.0 5.5
663 9.5 5.5
664 10.0 5.5
665 10.5 5.5
666 11.0 5.5
667 11.5 5.5
668 12.0 5.5
669 12.5 5.5
670 13.0 5.5
671 13.5 5.5
672 -0.5 5.5
673 -1.0 5.5
674 -1.5 5.5
675 -2.0 5.5
676 -2.5 5.5
677 -3.0 5.5
678 -3.5 5.5
679 -4.0 5.5
680 -4.5 5.5
681 -5.0 5.5
682 -5.5 5.5
683 -6.0 5.5
684 -6.5 5.5
685 -7.0 5.5
686 -7.5 5.5
687 -8.0 5.5
688 -8.5 5.5
689 -9.0 5.5
690 -9.5 5.5
691 -10.0 5.5
692 -10.5 5.5
693 -11.0 5.5
694 -11.5 5.5
695 -12.0 5.5
696 -12.5 5.5
697 -13.0 5.5
698 -13.5 5.5
699 0 6.0
700 0.5 6.0
701 1.0 6.0
702 1.5 6.0
703 2.0 6.0
704 2.5 6.0
705 3.0 6.0
706 3.5 6.0
707 4.0 6.0
708 4.5 6.0
709 5.0 6.0
710 5.5 6.0
711 6.0 6.0
712 6.5 6.0
713 7.0 6.0
714 7.5 6.0
715 8.0 6.0
716 8.5 6.0
717 9.0 6.0
718 9.5 6.0
719 10.0 6.0
720 10.5 6.0
721 11.0 6.0
722 11.5 6.0
723 12.0 6.0
724 12.5 6.0
725 13.0 6.0
726 13.5 6.0
727 -0.5 6.0
728 -1.0 6.0
729 -1.5 6.0
730 -2.0 6.0
731 -2.5 6.0
732 -3.0 6.0
733 -3.5 6.0
734 -4.0 6.0
735 -4.5 6.0
736 -5.0 6.0
737 -5.5 6.0
738 -6.0 6.0
739 -6.5 6.0
740 -7.0 6.0
741 -7.5 6.0
742 -8.0 6.0
743 -8.5 6.0
744 -9.0 6.0
745 -9.5 6.0
746 -10.0 6.0
747 -10.5 6.0
748 -11.0 6.0
749 -11.5 6.0
750 -12.0 6.0
751 -12.5 6.0
752 -13.0 6.0
753 -13.5 6.0
754 0 6.5
755 0.5 6.5
756 1.0 6.5
757 1.5 6.5
758 2.0 6.5
759 2.5 6.5
760 3.0 6.5
761 3.5 6.5
762 4.0 6.5
763 4.5 6.5
764 5.0 6.5
765 5.5 6.5
766 6.0 6.5
767 6.5 6.5
768 7.0 6.5
769 7.5 6.5
770 8.0 6.5
771 8.5 6.5
772 9.0 6.5
773 9.5 6.5
774 10.0 6.5
775 10.5 6.5
776 11.0 6.5
777 11.5 6.5
778 12.0 6.5
779 12.5 6.5
780 13.0 6.5
781 -0.5 6.5
782 -1.0 6.5
783 -1.5 6.5
784 -2.0 6.5
785 -2.5 6.5
786 -3.0 6.5
787 -3.5 6.5
788 -4.0 6.5
789 -4.5 6.5
790 -5.0 6.5
791 -5.5 6.5
792 -6.0 6.5
793 -6.5 6.5
794 -7.0 6.5
795 -7.5 6.5
796 -8.0 6.5
797 -8.5 6.5
798 -9.0 6.5
799 -9.5 6.5
800 -10.0 6.5
801 -10.5 6.5
802 -11.0 6.5
803 -11.5 6.5
804 -12.0 6.5
805 -12.5 6.5
806 -13.0 6.5
807 0 7.0
808 0.5 7.0
809 1.0 7.0
810 1.5 7.0
811 2.0 7.0
812 2.5 7.0
813 3.0 7.0
814 3.5 7.0
815 4.0 7.0
816 4.5 7.0
817 5.0 7.0
818 5.5 7.0
819 6.0 7.0
820 6.5 7.0
821 7.0 7.0
822 7.5 7.0
823 8.0 7.0
824 8.5 7.0
825 9.0 7.0
826 9.5 7.0
827 10.0 7.0
828 10.5 7.0
829 11.0 7.0
830 11.5 7.0
831 12.0 7.0
832 12.5 7.0
833 13.0 7.0
834 -0.5 7.0
835 -1.0 7.0
836 -1.5 7.0
837 -2.0 7.0
