pixelID mppcID probability
1 1 0.0005755463876600808
1 2 0.0005755463876600808
1 3 0.0005755463876600808
1 4 0.0005755463876600808
1 5 0.0005755463876600808
1 6 0.0005755463876600808
1 7 0.0005755463876600808
1 8 0.0005755463876600808
1 9 0.0005755463876600808
1 10 0.0005755463876600808
1 11 0.0005755463876600808
1 12 0.0005755463876600808
1 13 0.0005755463876600808
1 14 0.0005755463876600808
1 15 0.0005755463876600808
1 16 0.0005755463876600808
2 1 0.0006014656791487605
2 2 0.0005983712611986325
2 3 0.0005904130268877816
2 4 0.000580669884836682
2 5 0.0005723760094775432
2 6 0.0005668645306332598
2 7 0.0005629334060610613
2 8 0.0005597521815375039
2 9 0.000558394648731475
2 10 0.0005597521815580153
2 11 0.0005629334060741065
2 12 0.0005668645306430853
2 13 0.0005723760094750174
2 14 0.000580669884843954
2 15 0.0005904130269012153
2 16 0.0005983712611785652
3 1 0.0006313878610320622
3 2 0.0006237406475994023
3 3 0.0006060528658766717
3 4 0.0005856974194808628
3 5 0.0005714891770496611
3 6 0.0005660804976160561
3 7 0.0005585904442064749
3 8 0.0005446833509026305
3 9 0.00053689180447683
3 10 0.0005446833508956916
3 11 0.0005585904442301226
3 12 0.0005660804976104217
3 13 0.0005714891770561281
3 14 0.0005856974194783371
3 15 0.0006060528658627384
3 16 0.0006237406475886331
4 1 0.0006546343010732092
4 2 0.0006431218765898528
4 3 0.00062004642462124
4 4 0.0005949190785207448
4 5 0.0005847527022467547
4 6 0.0005724997269875576
4 7 0.0005549062769885371
4 8 0.0005224811424825726
4 9 0.0005009879887145907
4 10 0.0005224811424825448
4 11 0.0005549062769784063
4 12 0.0005724997270283305
4 13 0.0005847527022140864
4 14 0.0005949190785213831
4 15 0.0006200464246138293
4 16 0.0006431218765769464
5 1 0.0006854927613387241
5 2 0.000662402784366023
5 3 0.0006351619958255283
5 4 0.0005990262297241311
5 5 0.0005903940521099771
5 6 0.0005643020305764745
5 7 0.0005372700543362918
5 8 0.0005026275957061288
5 9 0.0004729936485559083
5 10 0.0005026275956921955
5 11 0.0005372700543306297
5 12 0.0005643020305691748
5 13 0.000590394052117138
5 14 0.0005990262297261295
5 15 0.0006351619957971621
5 16 0.000662402784356364
6 1 0.0007352922415355678
6 2 0.0006891099638240972
6 3 0.0006635386831435885
6 4 0.0006067638673680764
6 5 0.0005681959283976024
6 6 0.0005405083550016343
6 7 0.00051141595915008
6 8 0.0004940842029464432
6 9 0.0004826216482804735
6 10 0.0004940842029481085
6 11 0.0005114159591310119
6 12 0.0005405083550043543
6 13 0.0005681959283791449
6 14 0.0006067638673520337
6 15 0.0006635386831596035
6 16 0.0006891099638453579
7 1 0.0007809537332061911
7 2 0.0007173937561206767
7 3 0.0006881463525008902
7 4 0.0006193074746958793
7 5 0.0005433685084834661
7 6 0.0005170273145146675
7 7 0.0004865374583464255
7 8 0.0004906097983311541
7 9 0.0005071711914648724
7 10 0.0004906097983580215
7 11 0.00048653745841348295
7 12 0.0005170273145287951
7 13 0.0005433685084653694
7 14 0.000619307474680586
7 15 0.0006881463525102993
7 16 0.0007173937561231192
8 1 0.000793279031141958
8 2 0.000752410315220442
8 3 0.0006907489094429564
8 4 0.0006202025679812595
8 5 0.0005417099255231594
8 6 0.000501383168051997
8 7 0.0004719716972145932
8 8 0.00048594517335279197
8 9 0.0005178748357186902
8 10 0.0004859451733462139
8 11 0.0004719716972323429
8 12 0.0005013831680634739
8 13 0.0005417099255248248
8 14 0.0006202025679619694
8 15 0.0006907489094413743
8 16 0.0007524103152340977
9 1 0.0008136223611082127
9 2 0.0007976706125878419
9 3 0.000685489279357604
9 4 0.0006181547584627745
9 5 0.00054574748154676
9 6 0.0004939271365948794
9 7 0.0004689587503471371
9 8 0.0004777606490463382
9 9 0.0005094158425628381
9 10 0.00047776064904431204
9 11 0.00046895875033503565
9 12 0.0004939271366193321
9 13 0.0005457474815349639
9 14 0.0006181547584549474
9 15 0.0006854892793509149
9 16 0.000797670612588397
10 1 0.0008711534443406888
10 2 0.0008400456582056126
10 3 0.0006928401869078782
10 4 0.000621394441770895
10 5 0.0005339408983459776
10 6 0.0004888128095113797
10 7 0.00046308626192111124
10 8 0.0004622461574795289
10 9 0.0004923226035583039
10 10 0.00046224615745094066
10 11 0.0004630862619565135
10 12 0.0004888128095029143
10 13 0.000533940898320262
10 14 0.0006213944417718942
10 15 0.000692840186910515
10 16 0.0008400456582024485
11 1 0.0009347547861852101
11 2 0.0008625071313735355
11 3 0.0007146284840560402
11 4 0.000615202932827949
11 5 0.0005184356418297814
11 6 0.00047829767503387854
11 7 0.00045075076551825966
11 8 0.0004414669151531492
11 9 0.0005031318907070814
11 10 0.00044146691515523084
11 11 0.0004507507654986642
11 12 0.0004782976750128398
11 13 0.0005184356418027614
11 14 0.0006152029328522213
11 15 0.0007146284840597872
11 16 0.0008625071313571597
12 1 0.000992184070744584
12 2 0.0008819041168741104
12 3 0.0007314297239287559
12 4 0.0006021750025394373
12 5 0.0005130013154104607
12 6 0.00046612706885749977
12 7 0.00043974626988020626
12 8 0.00042947388394715125
12 9 0.0005651760152625973
12 10 0.0004294738839846768
12 11 0.0004397462699017307
12 12 0.00046612706886639543
12 13 0.0005130013154380775
12 14 0.0006021750025677619
12 15 0.0007314297239298106
12 16 0.0008819041168705022
13 1 0.00105598383650507
13 2 0.000926428450667649
13 3 0.0007279630143008087
13 4 0.0005881861413949419
13 5 0.000502120453244867
13 6 0.00045630629796609284
13 7 0.00042674988134591696
13 8 0.00043313929730684486
13 9 0.0006218940795278405
13 10 0.0004331392972984349
13 11 0.00042674988134566716
13 12 0.00045630629801185485
13 13 0.000502120453258148
13 14 0.0005881861413925549
13 15 0.0007279630143017801
13 16 0.0009264284506779186
14 1 0.001149663817004154
14 2 0.0009771073589068258
14 3 0.0007298189626643303
14 4 0.0005699745022899327
14 5 0.00047535729711011
14 6 0.000441180386742554
14 7 0.0004124459441425393
14 8 0.00044802115738902526
14 9 0.0006048626349929032
14 10 0.00044802115738540316
14 11 0.00041244594413303304
14 12 0.000441180386743123
14 13 0.000475357297090917
14 14 0.0005699745023203251
14 15 0.0007298189626867568
14 16 0.0009771073589328605
15 1 0.0012513692395421105
15 2 0.001022979081873543
15 3 0.0007451374894283935
15 4 0.0005618058004406706
15 5 0.0004554808847467215
15 6 0.00042263045694642537
15 7 0.0004035944067597094
15 8 0.00047024602085826706
15 9 0.000566983080831307
15 10 0.00047024602090844914
15 11 0.0004035944067258823
15 12 0.00042263045689761025
15 13 0.00045548088471847326
15 14 0.0005618058004341897
15 15 0.0007451374894228424
15 16 0.0010229790818621076
16 1 0.0013351817177672531
16 2 0.0010640765097916782
16 3 0.0007349134685451508
16 4 0.0005640879286137462
16 5 0.00046279250445795117
16 6 0.0004101513337838279
16 7 0.000402355090368553
16 8 0.0005036406872936106
16 9 0.0005716688530927605
